강수량,Latitude,Longitude,elevation,침수피해여부,펌프대수(대),불투수면 비율(%),불투수면 면적(㎢),행정구역면적(㎢)
0.0,35.135469,126.922773,56.11645126342773,0.0,0.0,16.8,8.19,48.74
51.6,35.1710515,126.9367358,79.18270111083984,0.0,0.0,25.52,30.49,119.46
2.9,35.1225096,126.9093754,75.55207824707031,0.0,4.0,27.86,16.88,60.58
0.0,35.1419742,126.9179447,52.88531875610352,0.0,0.0,16.8,8.19,48.74
0.0,35.1250511,126.7577539,23.92077255249023,0.0,25.0,22.06,48.99,222.05
0.0,35.1751473,126.8851432,32.5026969909668,0.0,0.0,25.52,30.49,119.46
0.0,35.1307588,126.9136362,64.43307495117188,0.0,4.0,27.86,16.88,60.58
0.0,35.1000279,126.7700218,29.20671844482422,0.0,25.0,22.06,48.99,222.05
0.0,35.1453997,126.9278721,62.30979156494141,0.0,0.0,16.8,8.19,48.74
0.8,35.1326352,126.9308724,67.77397155761719,0.0,0.0,16.8,8.19,48.74
12.3,35.1600245,126.8638337,29.27604675292969,0.0,3.0,42.14,20.02,47.52
24.2,35.1456212,126.8918404,46.73618698120117,0.0,4.0,27.86,16.88,60.58
0.0,35.1467053,126.9405813,106.3448944091797,0.0,0.0,16.8,8.19,48.74
4.6,35.1372442,126.7928747,18.47879791259766,0.0,25.0,22.06,48.99,222.05
0.0,35.1645852,126.8963637,35.80691909790039,0.0,0.0,25.52,30.49,119.46
0.4,35.1595281,126.9088227,42.7735710144043,0.0,0.0,25.52,30.49,119.46
2.5,35.1754171,126.8075516,26.40725708007812,0.0,25.0,22.06,48.99,222.05
0.0,35.1352811,126.8950592,40.7862663269043,0.0,4.0,27.86,16.88,60.58
0.0,35.1311907,126.9134425,62.68844985961914,0.0,4.0,27.86,16.88,60.58
0.0,35.1662931,126.8751885,25.85589790344238,0.0,3.0,42.14,20.02,47.52
0.0,35.1304007,126.9135198,65.05582427978516,0.0,4.0,27.86,16.88,60.58
0.0,35.1501842,126.919778,52.59383773803711,0.0,0.0,16.8,8.19,48.74
0.0,35.168693,126.8160002,22.38428688049316,0.0,25.0,22.06,48.99,222.05
0.0,35.150094,126.8218634,16.0,0.0,25.0,22.06,48.99,222.05
0.0,35.1415675,126.9178759,53.655517578125,0.0,0.0,16.8,8.19,48.74
45.7,35.1503401,126.911411,48.79485321044922,0.0,0.0,16.8,8.19,48.74
0.0,35.1798962,126.9131646,52.94740295410156,0.0,0.0,25.52,30.49,119.46
0.0,35.1456425,126.9275718,62.04638671875,0.0,0.0,16.8,8.19,48.74
21.1,35.1515796,126.9342547,74.1491928100586,0.0,0.0,16.8,8.19,48.74
0.0,35.1362545,126.8969312,47.90497589111328,0.0,4.0,27.86,16.88,60.58
4.3,35.1360748,126.7691344,18.5508918762207,0.0,25.0,22.06,48.99,222.05
0.0,35.1606772,126.8404212,16.78419303894043,0.0,3.0,42.14,20.02,47.52
2.6,35.1522594,126.9253775,55.91386032104492,0.0,0.0,16.8,8.19,48.74
0.0,35.2038994,126.8371951,39.71400451660156,0.0,25.0,22.06,48.99,222.05
0.0,35.1568419,126.885529,39.33523559570312,0.0,3.0,42.14,20.02,47.52
0.0,35.1554408,126.8992754,39.97555541992188,0.0,3.0,42.14,20.02,47.52
0.0,35.1794165,126.9244609,62.81021499633789,0.0,0.0,25.52,30.49,119.46
0.0,35.1522594,126.9253775,55.91386032104492,0.0,0.0,16.8,8.19,48.74
0.0,35.1121305,126.7722422,15.2536792755127,0.0,25.0,22.06,48.99,222.05
0.0,35.1577526,126.9129654,44.10855484008789,0.0,0.0,25.52,30.49,119.46
0.0,35.1758494,126.7355297,23.0,0.0,25.0,22.06,48.99,222.05
0.0,35.1144762,126.8302395,21.60923004150391,0.0,3.0,42.14,20.02,47.52
3.0,35.109971,126.8778122,52.76747894287109,0.0,4.0,27.86,16.88,60.58
0.0,35.1375522,126.7994153,17.25596618652344,0.0,25.0,22.06,48.99,222.05
0.0,35.129409,126.940023,97.77523803710938,0.0,0.0,16.8,8.19,48.74
0.2,35.1675874,126.9218853,51.62979125976562,0.0,0.0,25.52,30.49,119.46
0.0,35.1732087,126.870791,28.41448402404785,0.0,0.0,25.52,30.49,119.46
0.0,35.1712866,126.934716,69.25904083251953,0.0,0.0,25.52,30.49,119.46
